year,global_mean_anomaly_c,northern_hemisphere_anomaly_c,southern_hemisphere_anomaly_c,arctic_anomaly_c,sea_surface_anomaly_c,land_anomaly_c,hottest_month,record_events
1980,0.27,0.32,0.22,0.68,0.18,0.38,July,3
1985,0.12,0.18,0.06,0.41,0.08,0.21,August,2
1990,0.45,0.51,0.39,1.02,0.33,0.61,July,7
1995,0.39,0.44,0.34,0.91,0.27,0.56,August,5
1998,0.61,0.70,0.52,1.35,0.53,0.75,February,14
2000,0.42,0.49,0.35,0.99,0.31,0.59,March,6
2005,0.68,0.75,0.61,1.51,0.55,0.87,September,12
2010,0.72,0.82,0.62,1.78,0.60,0.94,June,15
2012,0.57,0.65,0.49,1.41,0.46,0.74,July,11
2015,0.90,1.02,0.78,2.01,0.76,1.12,December,21
2016,1.01,1.13,0.89,2.28,0.87,1.25,January,28
2017,0.92,1.04,0.80,2.10,0.78,1.15,October,19
2018,0.83,0.95,0.71,1.92,0.70,1.04,April,17
2019,0.98,1.10,0.86,2.21,0.83,1.22,June,25
2020,1.02,1.14,0.90,2.31,0.87,1.28,September,30
2021,0.85,0.97,0.73,1.95,0.72,1.06,August,18
2022,0.89,1.01,0.77,2.05,0.75,1.11,July,22
2023,1.17,1.30,1.04,2.58,1.02,1.44,September,38
2024,1.22,1.35,1.09,2.70,1.06,1.50,August,41
