country,year,life_expectancy,infant_mortality_per_1000,under5_mortality_per_1000,maternal_mortality_per_100k,physicians_per_1000,hospital_beds_per_1000,universal_health_coverage_index,obesity_rate_pct,diabetes_prevalence_pct
Japan,2023,84.3,1.8,2.4,4,2.5,13.1,87,4.3,5.7
Switzerland,2023,83.8,3.1,3.8,5,4.4,4.7,88,11.3,6.1
Australia,2023,83.4,3.4,4.1,6,3.8,3.8,85,29.0,8.1
Spain,2023,83.2,2.8,3.4,4,4.1,3.0,84,26.6,7.8
Italy,2023,83.0,2.7,3.3,5,4.0,3.2,83,21.0,6.2
South Korea,2023,83.6,2.5,3.1,11,2.5,12.4,85,5.3,7.9
Sweden,2023,82.8,2.2,2.7,4,4.3,2.2,86,20.6,6.4
Norway,2023,83.2,1.9,2.4,3,5.0,3.5,87,23.1,6.3
Germany,2023,81.3,3.2,3.9,7,4.5,8.0,84,22.3,9.0
France,2023,82.5,3.7,4.3,8,3.2,5.9,83,21.6,8.5
Canada,2023,82.3,4.5,5.2,10,2.4,2.5,84,29.4,9.0
United Kingdom,2023,81.3,3.7,4.4,9,3.0,2.5,83,27.8,8.6
United States,2023,79.3,5.4,6.4,24,2.6,2.9,75,36.2,10.7
China,2023,78.2,6.1,7.4,17,2.0,4.3,79,6.2,10.6
Brazil,2023,75.9,13.5,16.2,60,2.3,2.1,74,22.1,10.2
Mexico,2023,75.1,12.8,16.9,59,2.4,1.5,75,28.9,13.0
India,2023,70.8,26.6,32.1,103,0.7,0.5,56,3.9,11.8
Indonesia,2023,72.0,19.8,25.3,173,0.4,1.0,59,6.9,10.7
Nigeria,2023,55.7,69.8,102.5,512,0.4,0.5,38,8.9,5.7
Ethiopia,2023,67.0,34.8,48.2,401,0.1,0.3,40,4.5,4.2
