country,year,internet_penetration_pct,mobile_broadband_per_100,fixed_broadband_per_100,avg_download_speed_mbps,smartphone_ownership_pct,digital_literacy_index,ecommerce_gdp_pct,online_banking_pct,remote_work_capable_pct,5g_coverage_pct
Iceland,2023,99.0,133,47,220.5,98,92,18.2,98,85,72
Denmark,2023,98.5,140,45,215.3,97,91,17.8,97,84,68
Netherlands,2023,97.2,125,46,180.4,96,89,16.9,96,82,65
United Kingdom,2023,96.8,130,42,175.8,95,87,15.4,95,79,61
Germany,2023,93.8,126,44,145.2,94,85,11.2,94,74,55
Japan,2023,94.1,198,35,195.6,97,88,9.8,91,62,78
South Korea,2023,98.2,175,48,225.4,98,91,13.5,97,71,89
United States,2023,91.8,140,38,205.1,93,82,14.8,91,68,58
Australia,2023,91.0,135,37,168.3,92,83,12.1,90,65,52
Canada,2023,94.2,90,45,192.4,94,84,12.8,93,71,60
France,2023,92.3,118,46,152.1,93,83,10.5,92,68,52
Spain,2023,90.4,120,38,148.6,91,81,8.9,89,63,50
China,2023,76.4,115,20,168.2,80,75,24.5,73,42,72
Brazil,2023,81.3,108,18,75.4,82,68,9.2,69,38,28
Mexico,2023,76.2,92,16,55.8,74,61,6.8,52,30,18
South Africa,2023,72.5,128,3,42.1,80,58,4.2,48,28,22
India,2023,52.4,88,2,48.5,60,52,6.1,38,19,14
Indonesia,2023,77.0,114,5,38.4,71,55,7.8,44,22,12
Nigeria,2023,51.2,82,0.1,15.2,58,41,2.1,22,10,3
Ethiopia,2023,22.4,30,0.04,8.1,28,32,0.3,8,4,1
