country,year,global_peace_index,political_stability_score,armed_conflict_deaths_per_100k,refugee_outflow_thousands,military_spend_gdp_pct,police_per_100k,homicide_rate_per_100k,internal_displacement_thousands,terrorism_index,press_freedom_index
Iceland,2023,1.12,1.88,0.0,0.1,0.0,180,1.1,0,0.00,92.4
Ireland,2023,1.29,1.72,0.0,0.2,0.3,299,0.8,0,0.00,88.2
Denmark,2023,1.31,1.79,0.0,0.1,1.3,188,0.7,0,0.01,90.1
Austria,2023,1.34,1.68,0.0,0.1,0.8,332,1.0,0,0.02,83.5
New Zealand,2023,1.35,1.71,0.0,0.0,1.1,232,1.3,0,0.03,87.9
Portugal,2023,1.38,1.59,0.0,0.1,0.7,422,1.8,0,0.01,80.2
Singapore,2023,1.42,1.51,0.0,0.0,2.3,183,0.2,0,0.00,48.8
Japan,2023,1.44,1.48,0.0,0.0,1.0,207,0.3,0,0.01,72.5
Czech Republic,2023,1.45,1.42,0.0,0.1,1.1,379,1.0,0,0.02,74.6
Switzerland,2023,1.47,1.58,0.0,0.1,0.8,213,0.5,0,0.00,80.1
Canada,2023,1.62,1.45,0.0,0.2,1.3,188,2.0,0,0.01,85.4
Germany,2023,1.67,1.38,0.0,0.2,1.5,302,1.2,0,0.05,82.8
France,2023,2.05,1.12,0.1,0.5,2.1,356,1.3,2,0.48,70.5
United Kingdom,2023,2.08,1.08,0.1,0.3,2.3,307,1.1,0,0.38,72.8
United States,2023,2.44,0.85,0.1,0.6,3.5,215,6.3,0,1.25,68.2
India,2023,2.76,0.52,0.5,4.2,2.4,152,3.2,545,4.82,36.6
Turkey,2023,2.82,0.31,1.2,5.8,2.4,358,3.8,1200,4.28,34.2
Colombia,2023,2.89,0.28,2.4,8.1,3.2,418,28.5,4820,5.41,55.8
Mexico,2023,2.91,0.25,3.8,6.2,0.8,382,28.8,348,5.12,45.1
Russia,2023,3.54,-0.82,18.5,1200.0,4.1,382,5.8,82400,4.98,18.5
Ukraine,2023,3.58,-0.95,125.4,6500.0,35.8,295,8.2,3600000,5.12,62.4
Sudan,2023,3.62,-1.05,48.2,2800.0,3.2,184,14.5,6800,5.88,28.4
Myanmar,2023,3.71,-1.42,32.8,1200.0,4.8,240,15.2,1200,5.92,18.2
Syria,2023,3.90,-2.51,85.4,3200.0,12.8,215,42.5,6200000,6.24,20.8
Yemen,2023,3.95,-2.62,120.8,4500.0,8.4,185,58.4,4000000,6.48,12.4
