country,year,water_stress_index,freshwater_per_capita_m3,safe_water_access_pct,sanitation_access_pct,groundwater_depletion_rate_mm_yr,agricultural_water_use_pct,water_productivity_usd_per_m3,water_investment_usd_per_capita
Kuwait,2023,5.0,7,100,100,220,52,188.2,145
Bahrain,2023,5.0,3,100,100,195,44,202.1,130
Qatar,2023,4.9,26,100,100,188,38,215.4,162
Saudi Arabia,2023,4.8,74,100,100,176,86,78.3,98
Pakistan,2023,4.6,1017,91,59,148,94,4.2,12
India,2023,4.0,1165,93,71,164,89,6.8,18
Israel,2023,3.8,98,100,100,82,58,103.4,88
Mexico,2023,3.2,3402,97,91,58,76,22.1,35
China,2023,3.1,2018,97,85,72,62,18.4,42
South Africa,2023,2.9,876,91,74,44,62,12.4,28
United States,2023,2.2,8813,99,100,28,41,88.4,95
Spain,2023,2.0,2182,100,100,14,68,72.1,78
Turkey,2023,1.9,2821,98,98,38,74,28.4,44
Australia,2023,1.7,20188,100,100,8,69,115.4,82
France,2023,1.2,3018,100,100,4,12,145.2,104
Brazil,2023,0.8,27988,97,88,2,54,24.2,38
Canada,2023,0.4,80381,99,100,1,11,195.4,112
Russia,2023,0.3,31520,96,89,0,21,32.1,28
Norway,2023,0.2,72814,100,100,0,4,282.4,148
Iceland,2023,0.1,519210,100,100,0,2,344.2,188
Democratic Republic of Congo,2023,0.3,18018,52,29,0,71,1.8,4
Ethiopia,2023,1.2,1148,42,8,12,92,2.1,3
Yemen,2023,4.4,74,54,28,182,94,3.2,5
Bangladesh,2023,3.4,658,98,61,104,88,4.8,9
Egypt,2023,4.5,18,98,94,148,84,18.4,28
Jordan,2023,4.8,111,98,98,162,68,48.2,55
Nigeria,2023,1.1,1482,72,42,18,64,5.2,8
Indonesia,2023,1.4,8088,91,68,24,82,7.4,14
Argentina,2023,0.9,20481,99,96,4,72,42.1,48
Germany,2023,1.4,1318,100,100,6,18,122.4,118
