country,year,debt_to_gdp_pct,fiscal_deficit_gdp_pct,current_account_balance_gdp_pct,inflation_rate_pct,sovereign_credit_rating,foreign_reserves_months_imports,interest_payments_revenue_pct,external_debt_billions
Japan,2023,261.3,-5.2,-3.1,3.2,A+,23.8,8.4,4218
Greece,2023,171.3,-3.1,1.4,4.8,BB+,9.2,7.8,388
Italy,2023,142.1,-5.3,0.1,5.9,BBB,8.4,8.1,2884
Portugal,2023,112.4,-2.1,1.8,4.2,BBB+,8.8,5.2,488
United States,2023,123.4,-6.3,-3.8,4.1,AA+,4.8,12.4,30218
Spain,2023,111.8,-3.9,2.4,3.9,A-,8.4,6.8,2288
France,2023,109.2,-4.8,-0.2,5.7,AA-,8.2,5.1,6088
Belgium,2023,105.8,-5.1,0.8,4.4,AA-,8.8,5.4,1288
Brazil,2023,88.4,-8.1,-2.1,4.6,BB,11.4,13.4,682
India,2023,83.4,-5.8,-1.4,5.4,BBB-,11.8,4.2,620
United Kingdom,2023,100.4,-4.8,-3.2,6.8,AA,6.4,8.8,10188
Canada,2023,68.4,-1.4,-0.8,3.9,AAA,8.4,4.8,2188
Germany,2023,64.4,-2.8,5.8,5.9,AAA,7.2,2.4,5888
South Africa,2023,73.4,-6.8,-2.4,5.9,BB-,6.2,18.4,185
Mexico,2023,54.8,-3.8,-1.4,5.5,BBB,8.4,14.4,488
Turkey,2023,38.8,-5.2,-4.8,64.8,B+,5.8,9.4,445
Argentina,2023,91.4,-5.8,-0.8,143.1,CCC,5.4,24.2,275
Australia,2023,49.8,-0.8,1.8,3.5,AAA,8.8,3.2,1888
Netherlands,2023,49.2,-0.4,8.8,4.1,AAA,7.4,2.8,3488
China,2023,51.8,-3.2,1.8,0.1,A+,19.8,2.2,2488
Russia,2023,18.8,0.8,4.8,5.9,BB+,28.4,2.1,325
Saudi Arabia,2023,23.4,3.8,3.1,2.3,A,28.8,1.4,245
Nigeria,2023,38.4,-4.4,-2.8,24.4,B-,7.2,22.4,42
Pakistan,2023,78.8,-7.4,-0.8,28.8,CCC,2.8,38.4,125
Egypt,2023,88.4,-8.2,-3.4,35.8,B,5.4,42.4,168
Poland,2023,50.4,-5.2,-1.4,10.4,A-,8.4,5.4,385
Sweden,2023,33.8,0.4,5.8,8.4,AAA,9.8,2.1,888
South Korea,2023,51.4,-3.8,1.8,3.4,AA,10.4,2.8,668
Indonesia,2023,39.4,-2.4,-1.4,3.7,BBB,8.4,8.4,415
Kenya,2023,68.4,-6.2,-4.8,7.4,B,5.8,28.4,38
