country,year,international_arrivals_millions,tourism_gdp_pct,tourism_jobs_thousands,avg_spend_per_visitor_usd,hotel_capacity_thousands_rooms,tourist_to_resident_ratio,tourism_recovery_vs_2019_pct,visitor_satisfaction_index_0_100
France,2023,100.0,8.5,2942,1488,628,1.48,96.4,82
Spain,2023,85.1,14.2,2842,1642,998,102.1,88
United States,2023,66.0,8.2,8282,3244,5248,0.2,94.4,84
Turkey,2023,57.2,12.4,2488,1142,488,0.68,124.2,78
Italy,2023,57.0,13.1,2748,1788,1088,0.98,104.4,88
Mexico,2023,42.0,8.8,4288,1088,848,0.34,112.4,80
Saudi Arabia,2023,28.8,4.4,1288,1644,348,0.88,314.8,74
United Kingdom,2023,38.0,10.4,3542,1988,748,0.58,98.4,82
Germany,2023,34.8,4.8,3242,1388,988,0.42,102.4,80
Greece,2023,32.8,25.4,842,1448,148,2.98,108.4,88
Japan,2023,24.0,5.2,2488,2244,1448,0.19,78.4,90
Thailand,2023,28.0,18.4,4488,1488,548,0.4,88.4,84
Malaysia,2023,20.4,12.4,1448,1044,448,0.64,94.4,80
Portugal,2023,29.6,22.4,448,1488,188,2.78,108.4,86
Austria,2023,34.4,15.8,248,2188,288,3.82,106.4,90
Canada,2023,22.4,4.2,1688,1988,548,0.6,104.4,82
Singapore,2023,15.6,9.4,248,3644,68,2.74,96.4,88
UAE,2023,22.8,14.4,548,2888,148,2.18,122.4,84
Maldives,2023,1.8,38.8,48,2944,8,4.44,108.4,94
Australia,2023,9.4,4.8,1248,5144,288,0.36,82.4,86
Croatia,2023,20.4,28.4,148,1088,148,4.88,112.4,86
Switzerland,2023,11.4,5.4,188,3144,248,1.34,102.4,90
Iceland,2023,2.2,8.8,28,3644,28,5.88,98.4,92
Egypt,2023,14.8,11.4,848,688,188,0.14,108.4,76
Morocco,2023,14.4,7.8,548,788,148,0.4,118.4,80
South Korea,2023,11.0,2.8,648,1688,488,0.21,84.4,84
India,2023,9.2,4.8,41280,1344,1448,0.007,98.4,76
Brazil,2023,5.8,3.4,8348,1144,1648,0.03,96.4,78
Netherlands,2023,22.2,5.8,448,2144,148,1.28,98.4,82
Vietnam,2023,12.6,9.8,4248,744,548,0.13,96.4,84
