region,year,total_climate_disasters,flood_events,drought_events,extreme_heat_days_above_35c,economic_losses_usd_billions,insured_losses_usd_billions,disaster_related_deaths,displaced_persons_millions,disaster_risk_index_0_10,climate_adaptation_spend_gdp_pct
Asia-Pacific,2000,248,128,44,38,58.4,8.4,14820,14.4,8.4,0.28
Asia-Pacific,2005,284,148,48,48,88.4,12.4,18820,18.4,8.6,0.32
Asia-Pacific,2010,348,188,54,58,188.4,24.4,28820,28.4,8.8,0.38
Asia-Pacific,2015,384,208,58,74,228.4,38.4,12820,24.4,8.6,0.44
Asia-Pacific,2020,428,238,68,88,348.4,48.4,9820,32.4,8.8,0.54
Asia-Pacific,2023,458,258,74,104,428.4,64.4,8820,36.4,8.8,0.62
North America,2000,68,28,18,18,88.4,44.4,882,2.4,5.8,0.18
North America,2005,88,38,22,24,188.4,88.4,1882,3.4,6.2,0.22
North America,2010,94,42,24,28,148.4,78.4,882,2.8,6.2,0.28
North America,2015,108,48,28,38,228.4,118.4,682,3.4,6.4,0.34
North America,2020,128,58,34,52,388.4,188.4,982,4.4,6.8,0.42
North America,2023,138,62,38,64,448.4,228.4,1182,4.8,6.8,0.48
Europe,2000,48,24,12,8,48.4,28.4,2882,1.4,4.4,0.24
Europe,2005,62,32,16,14,88.4,48.4,1882,1.8,4.6,0.28
Europe,2010,68,36,18,18,68.4,38.4,882,1.8,4.8,0.34
Europe,2015,78,42,22,28,88.4,48.4,682,2.4,5.0,0.42
Europe,2020,94,52,26,44,148.4,88.4,882,2.8,5.4,0.52
Europe,2023,108,58,32,58,228.4,128.4,1682,3.4,5.8,0.64
Sub-Saharan Africa,2000,148,42,64,28,4.4,0.4,18820,12.4,8.8,0.08
Sub-Saharan Africa,2005,164,48,72,34,6.4,0.8,22820,14.4,9.0,0.1
Sub-Saharan Africa,2010,188,54,82,44,8.4,1.4,18820,16.4,9.2,0.12
Sub-Saharan Africa,2015,214,62,88,54,12.4,2.4,14820,18.4,9.2,0.14
Sub-Saharan Africa,2020,248,72,98,68,18.4,3.4,12820,22.4,9.4,0.18
Sub-Saharan Africa,2023,268,78,108,82,24.4,4.4,14820,24.4,9.4,0.22
Latin America & Caribbean,2000,88,44,24,18,28.4,8.4,4882,4.4,7.2,0.18
Latin America & Caribbean,2005,104,52,28,24,38.4,12.4,5882,5.4,7.4,0.22
Latin America & Caribbean,2010,118,58,32,28,58.4,18.4,8882,6.4,7.6,0.26
Latin America & Caribbean,2015,128,62,36,34,78.4,24.4,4882,6.8,7.6,0.32
Latin America & Caribbean,2020,148,72,42,48,128.4,38.4,4882,7.8,7.8,0.38
Latin America & Caribbean,2023,158,78,46,58,168.4,48.4,4882,8.4,7.8,0.44
Middle East & North Africa,2000,38,12,18,22,8.4,2.4,1882,1.8,7.8,0.12
Middle East & North Africa,2005,44,14,22,28,12.4,3.4,2882,2.4,8.0,0.14
Middle East & North Africa,2010,52,18,26,34,18.4,4.4,3882,3.4,8.2,0.16
Middle East & North Africa,2015,62,22,32,48,28.4,6.4,4882,4.4,8.4,0.2
Middle East & North Africa,2020,78,28,38,64,48.4,10.4,5882,5.4,8.6,0.26
Middle East & North Africa,2023,88,32,44,78,68.4,14.4,6882,6.4,8.8,0.32
